id	name	chi2	pval
186	4.1-ngram.next_system_utterance__price range looking	86.9909	0.0000
187	4.1-ngram.next_system_utterance__range looking	86.9909	0.0000
188	4.1-ngram.next_system_utterance__range looking example	86.8965	0.0000
189	4.1-ngram.next_system_utterance__kind price	86.8965	0.0000
190	4.1-ngram.next_system_utterance__kind price range	86.8965	0.0000
191	6-entity_feature__entity__next_system_utterance__8_pounds_MONEY	86.3105	0.0000
192	7-syntactic_feature__root_word__current_user_utterance__address	85.8490	0.0000
193	6-entity_feature__entity__next_system_utterance__1_pound_MONEY	84.7214	0.0000
194	5-phrase_feature__noun_phrases__next_system_utterance__pound	84.7214	0.0000
195	7-syntactic_feature__root_word__current_user_utterance__number	84.3809	0.0000
196	5-phrase_feature__noun_phrases__next_system_utterance__x	84.0197	0.0000
197	5-phrase_feature__noun_phrases__next_system_utterance__x_food	84.0197	0.0000
198	7-syntactic_feature__subj_word__next_system_utterance__restaurant	83.4389	0.0000
199	5-phrase_feature__noun_phrases__next_user_utterance__postcode	83.3554	0.0000
200	5-phrase_feature__noun_phrases__next_user_utterance__dont	82.8625	0.0000
201	5-phrase_feature__noun_phrases__next_user_utterance__im	81.8898	0.0000
202	4.1-ngram.next_system_utterance__pounds	81.0475	0.0000
203	5-phrase_feature__noun_phrases__next_user_utterance__dont_care	80.5277	0.0000
204	5-phrase_feature__noun_phrases__next_system_utterance__art	80.3894	0.0000
205	4.1-ngram.current_user_utterance__television	80.0090	0.0000
206	7-syntactic_feature__root_word__next_system_utterance__part	79.9849	0.0000
207	5-phrase_feature__noun_phrases__next_system_utterance__cappuccino	78.6597	0.0000
208	5-phrase_feature__noun_phrases__next_system_utterance__new_chesterton_area	78.5962	0.0000
209	5-phrase_feature__noun_phrases__next_user_utterance__im_looking	78.5144	0.0000
210	7-syntactic_feature__root_word__next_user_utterance__im	78.4672	0.0000
211	7-syntactic_feature__obj_word__current_user_utterance__television	77.8090	0.0000
212	5-phrase_feature__noun_phrases__next_system_utterance__pint	77.5081	0.0000
213	5-phrase_feature__noun_phrases__next_system_utterance__beer	77.5081	0.0000
214	5-phrase_feature__noun_phrases__next_system_utterance__cheapest_pint	77.5081	0.0000
215	6-entity_feature__entity__next_system_utterance__Carringtons_ORGANIZATION	77.1230	0.0000
216	8.1-lda_feature.next_system_utterance__topic_1	77.0224	0.0000
217	5-phrase_feature__noun_phrases__next_system_utterance__great_venue	76.3756	0.0000
218	4.1-ngram.next_system_utterance__food like example	75.9773	0.0000
