id,name,prefix,chi2,pval
9478,b'5-phrase_feature__noun_phrases__current_user_utterance__bout_barnwell',b'5',1.1102,0.7746
9479,b'5-phrase_feature__noun_phrases__current_user_utterance__address_price',b'5',1.1102,0.7746
9480,b'5-phrase_feature__noun_phrases__current_user_utterance__bout_trumpington',b'5',1.1102,0.7746
9481,b'5-phrase_feature__noun_phrases__current_user_utterance__breathing_pub_restaurant',b'5',1.1102,0.7746
9482,b'5-phrase_feature__noun_phrases__current_user_utterance__breathing_spanish',b'5',1.1102,0.7746
9483,b'5-phrase_feature__noun_phrases__current_user_utterance__breathing_spanish_restaurant',b'5',1.1102,0.7746
9484,b'5-phrase_feature__noun_phrases__current_user_utterance__breathing_texmex',b'5',1.1102,0.7746
9485,b'7-syntactic_feature__subj_word__current_user_utterance__alright',b'7',1.1102,0.7746
9486,b'7-syntactic_feature__subj_word__current_user_utterance__an',b'7',1.1102,0.7746
9487,b'5-phrase_feature__noun_phrases__current_user_utterance__car',b'5',1.1102,0.7746
9488,b'5-phrase_feature__noun_phrases__current_user_utterance__care_system',b'5',1.1102,0.7746
9489,b'5-phrase_feature__noun_phrases__current_user_utterance__center_area',b'5',1.1102,0.7746
9490,b'5-phrase_feature__noun_phrases__current_user_utterance__center_area_city',b'5',1.1102,0.7746
9491,b'5-phrase_feature__noun_phrases__current_user_utterance__address_system',b'5',1.1102,0.7746
9492,b'5-phrase_feature__noun_phrases__current_user_utterance__address_post',b'5',1.1102,0.7746
9493,b'5-phrase_feature__noun_phrases__current_user_utterance__moderatelt',b'5',1.1102,0.7746
9494,b'5-phrase_feature__noun_phrases__current_user_utterance__adddress',b'5',1.1102,0.7746
9495,b'7-syntactic_feature__subj_word__next_system_utterance__alma',b'7',1.1102,0.7746
9496,b'7-syntactic_feature__root_word__next_user_utterance__where',b'7',1.1102,0.7746
9497,b'7-syntactic_feature__root_word__next_user_utterance__whisperingunintellig',b'7',1.1102,0.7746
9498,b'7-syntactic_feature__root_word__next_user_utterance__x',b'7',1.1102,0.7746
9499,b'7-syntactic_feature__root_word__next_user_utterance__want',b'7',1.1102,0.7746
9500,b'7-syntactic_feature__subj_word__current_user_utterance__ye',b'7',1.1102,0.7746
9501,b'4.1-ngram.next_user_utterance__yes im looking',b'4.1',1.1102,0.7746
9502,b'4.1-ngram.next_user_utterance__yes looking',b'4.1',1.1102,0.7746
9503,b'4.1-ngram.next_user_utterance__yes noise',b'4.1',1.1102,0.7746
9504,b'5-phrase_feature__noun_phrases__current_user_utterance__actual_price',b'5',1.1102,0.7746
9505,b'5-phrase_feature__noun_phrases__current_user_utterance__ad',b'5',1.1102,0.7746
9506,b'5-phrase_feature__noun_phrases__current_user_utterance__addenbrookes_area',b'5',1.1102,0.7746
9507,b'5-phrase_feature__noun_phrases__current_user_utterance__address_phone_number',b'5',1.1102,0.7746
9508,b'5-phrase_feature__noun_phrases__current_user_utterance__addonbookes',b'5',1.1102,0.7746
9509,b'5-phrase_feature__noun_phrases__current_user_utterance__addonbrooke_area',b'5',1.1102,0.7746
9510,b'5-phrase_feature__noun_phrases__current_user_utterance__addonbrookes',b'5',1.1102,0.7746
9511,b'7-syntactic_feature__root_word__next_user_utterance__unitellig',b'7',1.1102,0.7746
9512,b'5-phrase_feature__noun_phrases__current_user_utterance__addonsbookes',b'5',1.1102,0.7746
9513,b'5-phrase_feature__noun_phrases__current_user_utterance__addonsbookes_area',b'5',1.1102,0.7746
9514,b'5-phrase_feature__noun_phrases__current_user_utterance__addrees',b'5',1.1102,0.7746
9515,b'5-phrase_feature__noun_phrases__current_user_utterance__addrees_phone',b'5',1.1102,0.7746
9516,b'5-phrase_feature__noun_phrases__current_user_utterance__address_area',b'5',1.1102,0.7746
9517,b'5-phrase_feature__noun_phrases__current_user_utterance__address_pho',b'5',1.1102,0.7746
9518,b'5-phrase_feature__noun_phrases__current_user_utterance__address_pho_number',b'5',1.1102,0.7746
9519,b'5-phrase_feature__noun_phrases__current_user_utterance__cheap_italian_restaurant',b'5',1.1102,0.7746
9520,b'5-phrase_feature__noun_phrases__current_user_utterance__cheap_pub_restaurant',b'5',1.1102,0.7746
9521,b'5-phrase_feature__noun_phrases__current_user_utterance__cheap_restaurant_unitelligible',b'5',1.1102,0.7746
9522,b'5-phrase_feature__noun_phrases__current_user_utterance__imlooking',b'5',1.1102,0.7746
9523,b'5-phrase_feature__noun_phrases__current_user_utterance__girton_area',b'5',1.1102,0.7746
