id,name,prefix,chi2,pval
172,b'4.1-ngram.next_system_utterance__meals n5',b'4.1',74.4236,0.0000
173,b'5-phrase_feature__noun_phrases__next_system_utterance__large_\\_n5',b'5',74.2916,0.0000
174,b'7-syntactic_feature__obj_word__current_user_utterance__@lauren',b'7',74.2002,0.0000
175,b'4.1-ngram.next_system_utterance__dick',b'4.1',73.3346,0.0000
176,b'4.1-ngram.next_system_utterance__learn',b'4.1',72.9151,0.0000
177,b'4.1-ngram.next_system_utterance__claims examiner',b'4.1',72.9151,0.0000
178,b'4.1-ngram.next_system_utterance__learn text',b'4.1',72.9151,0.0000
179,b'4.1-ngram.next_system_utterance__fri jun pm',b'4.1',72.6222,0.0000
180,b'5-phrase_feature__noun_phrases__next_system_utterance__gross',b'5',71.7207,0.0000
181,b'6-entity_feature__entity__next_system_utterance__1 at 2:30 pm_TIME',b'6',71.4116,0.0000
182,b'7-syntactic_feature__obj_word__next_system_utterance__visit',b'7',70.8665,0.0000
183,b'4.1-ngram.next_system_utterance__ready',b'4.1',70.6172,0.0000
184,b'5-phrase_feature__noun_phrases__next_system_utterance__italian_soda',b'5',70.4734,0.0000
185,b'2.1-user_action_words.current_user_utterance__remind',b'2.1',70.4358,0.0000
186,b"5-phrase_feature__noun_phrases__next_system_utterance__n'show_reminders",b'5',69.6182,0.0000
187,b'4.1-ngram.next_system_utterance__example nyou discard',b'4.1',69.4395,0.0000
188,b'7-syntactic_feature__root_word__next_system_utterance__matt',b'7',69.2227,0.0000
189,b'4.1-ngram.next_system_utterance__adam',b'4.1',67.8749,0.0000
190,b'4.1-ngram.next_system_utterance__ready add',b'4.1',67.8482,0.0000
191,b'4.1-ngram.next_system_utterance__ready add items',b'4.1',67.8482,0.0000
192,b'4.1-ngram.next_system_utterance__did mean',b'4.1',67.8482,0.0000
193,b'4.1-ngram.next_system_utterance__cleansing water',b'4.1',67.8482,0.0000
194,b'4.1-ngram.next_system_utterance__list set',b'4.1',67.8482,0.0000
195,b'4.1-ngram.next_system_utterance__meals n7',b'4.1',67.8482,0.0000
196,b'4.1-ngram.next_system_utterance__did',b'4.1',67.8482,0.0000
197,b'4.1-ngram.next_system_utterance__meals n5 list',b'4.1',67.8482,0.0000
198,b'4.1-ngram.next_system_utterance__parmesan n8',b'4.1',67.8451,0.0000
199,b'7-syntactic_feature__root_word__next_system_utterance__control',b'7',66.8683,0.0000
200,b'4.1-ngram.current_user_utterance__clear',b'4.1',66.7468,0.0000
201,b"5-phrase_feature__noun_phrases__next_system_utterance__n'start",b'5',66.2984,0.0000
202,b'6-entity_feature__entity__next_system_utterance__edgefield_LOCATION',b'6',65.1581,0.0000
203,b'4.1-ngram.next_system_utterance__cleansing',b'4.1',64.9391,0.0000
204,b'7-syntactic_feature__root_word__current_user_utterance__coff',b'7',64.9271,0.0000
205,b'6-entity_feature__entity__next_system_utterance__11:30 am_TIME',b'6',64.4575,0.0000
206,b'7-syntactic_feature__obj_word__next_system_utterance__n11',b'7',64.4240,0.0000
207,b'4.1-ngram.next_system_utterance__hand soap dove',b'4.1',64.3458,0.0000
208,b'5-phrase_feature__noun_phrases__next_system_utterance__perfect',b'5',64.3151,0.0000
209,b'7-syntactic_feature__root_word__next_system_utterance__grapefruit',b'7',63.8190,0.0000
210,b'4.1-ngram.next_system_utterance__cleaning yes',b'4.1',63.0246,0.0000
211,b'5-phrase_feature__noun_phrases__next_system_utterance__4th_tuesday',b'5',62.9198,0.0000
212,b'4.1-ngram.next_system_utterance__reminder n1 pickup',b'4.1',62.8033,0.0000
213,b'5-phrase_feature__noun_phrases__next_system_utterance__masa',b'5',62.6983,0.0000
214,b'7-syntactic_feature__obj_word__next_system_utterance__meat',b'7',61.9416,0.0000
215,b'4.1-ngram.next_system_utterance__fri mar 31',b'4.1',61.6700,0.0000
216,b'4.1-ngram.next_system_utterance__friday',b'4.1',61.6700,0.0000
217,b'4.1-ngram.current_user_utterance__remind year',b'4.1',61.4610,0.0000
218,b'7-syntactic_feature__root_word__next_system_utterance__-lsb-',b'7',61.2881,0.0000
219,b'6-entity_feature__entity__next_system_utterance__31st march_DATE',b'6',61.0316,0.0000
220,b'7-syntactic_feature__obj_word__next_system_utterance__n27',b'7',59.7503,0.0000
221,b'4.1-ngram.next_system_utterance__add item fit',b'4.1',59.7357,0.0000
222,b'7-syntactic_feature__root_word__next_system_utterance__tabl',b'7',58.4329,0.0000
223,b'4.1-ngram.next_user_utterance__till december',b'4.1',58.2791,0.0000
224,b'7-syntactic_feature__root_word__next_user_utterance__5th',b'7',57.8600,0.0000
225,b'5-phrase_feature__noun_phrases__next_system_utterance__brain_\\',b'5',57.3742,0.0000
226,b'4.1-ngram.next_system_utterance__dogs n7',b'4.1',57.2768,0.0000
227,b'4.1-ngram.next_system_utterance__dogs n7 blendables',b'4.1',57.2768,0.0000
228,b'4.1-ngram.next_system_utterance__taro root',b'4.1',57.2768,0.0000
229,b'5-phrase_feature__noun_phrases__next_system_utterance__horseradish_sauce',b'5',56.8834,0.0000
230,b"5-phrase_feature__noun_phrases__next_system_utterance__n'stop",b'5',56.4024,0.0000
231,b'7-syntactic_feature__root_word__next_user_utterance__stop',b'7',56.3955,0.0000
232,b'7-syntactic_feature__root_word__next_system_utterance__note',b'7',56.2694,0.0000
233,b'5-phrase_feature__noun_phrases__next_system_utterance__n_\\_n3',b'5',56.1006,0.0000
234,b'5-phrase_feature__noun_phrases__next_system_utterance__bins',b'5',55.3678,0.0000
235,b'4.1-ngram.next_system_utterance__ultrasound',b'4.1',55.2939,0.0000
236,b"5-phrase_feature__noun_phrases__next_system_utterance__n'remove_member",b'5',55.0302,0.0000
237,b'7-syntactic_feature__subj_word__next_system_utterance__meet',b'7',55.0302,0.0000
238,b"5-phrase_feature__noun_phrases__next_system_utterance__\\_n'oct",b'5',55.0302,0.0000
239,b"5-phrase_feature__noun_phrases__next_system_utterance__n'open",b'5',54.4645,0.0000
240,b"5-phrase_feature__noun_phrases__next_system_utterance__n'help_recurring",b'5',54.4645,0.0000
241,b"5-phrase_feature__noun_phrases__next_system_utterance__\\_n'add",b'5',54.4645,0.0000
242,b'5-phrase_feature__noun_phrases__next_user_utterance__wolf',b'5',54.1825,0.0000
243,b'7-syntactic_feature__root_word__next_user_utterance__tuesday',b'7',54.1825,0.0000
244,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_n27',b'5',54.0862,0.0000
245,b'6-entity_feature__entity__next_system_utterance__6 pm_TIME',b'6',53.9694,0.0000
246,b'5-phrase_feature__noun_phrases__next_system_utterance__n47',b'5',53.7989,0.0000
247,b'5-phrase_feature__noun_phrases__next_system_utterance__member_liam',b'5',53.4504,0.0000
248,b'7-syntactic_feature__obj_word__next_system_utterance__n32',b'7',53.2927,0.0000
